"State","Date","Population"
"LA",2016-09-17,4676516.23287671
"LA",2016-09-18,4676495.47945205
"LA",2016-09-19,4676474.7260274
"LA",2016-09-20,4676453.97260274
"LA",2016-09-21,4676433.21917808
"LA",2016-09-22,4676412.46575342
"LA",2016-09-23,4676391.71232877
"LA",2016-09-24,4676370.95890411
"LA",2016-09-25,4676350.20547945
"LA",2016-09-26,4676329.45205479
"LA",2016-09-27,4676308.69863014
"LA",2016-09-28,4676287.94520548
"LA",2016-09-29,4676267.19178082
"LA",2016-09-30,4676246.43835616
"LA",2016-10-01,4676225.68493151
"LA",2016-10-02,4676204.93150685
"LA",2016-10-03,4676184.17808219
"LA",2016-10-04,4676163.42465753
"LA",2016-10-05,4676142.67123288
"LA",2016-10-06,4676121.91780822
"LA",2016-10-07,4676101.16438356
"LA",2016-10-08,4676080.4109589
"LA",2016-10-09,4676059.65753425
"LA",2016-10-10,4676038.90410959
"LA",2016-10-11,4676018.15068493
"LA",2016-10-12,4675997.39726027
"LA",2016-10-13,4675976.64383562
"LA",2016-10-14,4675955.89041096
"LA",2016-10-15,4675935.1369863
"LA",2016-10-16,4675914.38356164
"LA",2016-10-17,4675893.63013699
"LA",2016-10-18,4675872.87671233
"LA",2016-10-19,4675852.12328767
"LA",2016-10-20,4675831.36986301
"LA",2016-10-21,4675810.61643836
"LA",2016-10-22,4675789.8630137
"LA",2016-10-23,4675769.10958904
"LA",2016-10-24,4675748.35616438
"LA",2016-10-25,4675727.60273973
"LA",2016-10-26,4675706.84931507
"LA",2016-10-27,4675686.09589041
"LA",2016-10-28,4675665.34246575
"LA",2016-10-29,4675644.5890411
"LA",2016-10-30,4675623.83561644
"LA",2016-10-31,4675603.08219178
"LA",2016-11-01,4675582.32876712
"LA",2016-11-02,4675561.57534247
"LA",2016-11-03,4675540.82191781
"LA",2016-11-04,4675520.06849315
"LA",2016-11-05,4675499.31506849
"LA",2016-11-06,4675478.56164384
"LA",2016-11-07,4675457.80821918
"LA",2016-11-08,4675437.05479452
"LA",2016-11-09,4675416.30136986
"LA",2016-11-10,4675395.54794521
"LA",2016-11-11,4675374.79452055
"LA",2016-11-12,4675354.04109589
"LA",2016-11-13,4675333.28767123
"LA",2016-11-14,4675312.53424658
"LA",2016-11-15,4675291.78082192
"LA",2016-11-16,4675271.02739726
"LA",2016-11-17,4675250.2739726
"LA",2016-11-18,4675229.52054795
"LA",2016-11-19,4675208.76712329
"LA",2016-11-20,4675188.01369863
"LA",2016-11-21,4675167.26027397
"LA",2016-11-22,4675146.50684932
"LA",2016-11-23,4675125.75342466
"LA",2016-11-24,4675105
"LA",2016-11-25,4675084.24657534
"LA",2016-11-26,4675063.49315068
"LA",2016-11-27,4675042.73972603
"LA",2016-11-28,4675021.98630137
"LA",2016-11-29,4675001.23287671
"LA",2016-11-30,4674980.47945205
"LA",2016-12-01,4674959.7260274
"LA",2016-12-02,4674938.97260274
"LA",2016-12-03,4674918.21917808
"LA",2016-12-04,4674897.46575342
"LA",2016-12-05,4674876.71232877
"LA",2016-12-06,4674855.95890411
"LA",2016-12-07,4674835.20547945
"LA",2016-12-08,4674814.45205479
"LA",2016-12-09,4674793.69863014
"LA",2016-12-10,4674772.94520548
"LA",2016-12-11,4674752.19178082
"LA",2016-12-12,4674731.43835616
"LA",2016-12-13,4674710.68493151
"LA",2016-12-14,4674689.93150685
"LA",2016-12-15,4674669.17808219
"LA",2016-12-16,4674648.42465753
"LA",2016-12-17,4674627.67123288
"LA",2016-12-18,4674606.91780822
"LA",2016-12-19,4674586.16438356
"LA",2016-12-20,4674565.4109589
"LA",2016-12-21,4674544.65753425
"LA",2016-12-22,4674523.90410959
"LA",2016-12-23,4674503.15068493
"LA",2016-12-24,4674482.39726027
"LA",2016-12-25,4674461.64383562
"LA",2016-12-26,4674440.89041096
"LA",2016-12-27,4674420.1369863
"LA",2016-12-28,4674399.38356164
"LA",2016-12-29,4674378.63013699
"LA",2016-12-30,4674357.87671233
"LA",2016-12-31,4674337.12328767
"LA",2017-01-01,4674316.36986301
"LA",2017-01-02,4674295.61643836
"LA",2017-01-03,4674274.8630137
"LA",2017-01-04,4674254.10958904
"LA",2017-01-05,4674233.35616438
"LA",2017-01-06,4674212.60273973
"LA",2017-01-07,4674191.84931507
"LA",2017-01-08,4674171.09589041
"LA",2017-01-09,4674150.34246575
"LA",2017-01-10,4674129.5890411
"LA",2017-01-11,4674108.83561644
"LA",2017-01-12,4674088.08219178
"LA",2017-01-13,4674067.32876712
"LA",2017-01-14,4674046.57534247
"LA",2017-01-15,4674025.82191781
"LA",2017-01-16,4674005.06849315
"LA",2017-01-17,4673984.31506849
"LA",2017-01-18,4673963.56164384
"LA",2017-01-19,4673942.80821918
"LA",2017-01-20,4673922.05479452
"LA",2017-01-21,4673901.30136986
"LA",2017-01-22,4673880.54794521
"LA",2017-01-23,4673859.79452055
"LA",2017-01-24,4673839.04109589
"LA",2017-01-25,4673818.28767123
"LA",2017-01-26,4673797.53424658
"LA",2017-01-27,4673776.78082192
"LA",2017-01-28,4673756.02739726
"LA",2017-01-29,4673735.2739726
"LA",2017-01-30,4673714.52054795
"LA",2017-01-31,4673693.76712329
"LA",2017-02-01,4673673.01369863
"LA",2017-02-02,4673652.26027397
"LA",2017-02-03,4673631.50684932
"LA",2017-02-04,4673610.75342466
"LA",2017-02-05,4673590
"LA",2017-02-06,4673569.24657534
"LA",2017-02-07,4673548.49315068
"LA",2017-02-08,4673527.73972603
"LA",2017-02-09,4673506.98630137
"LA",2017-02-10,4673486.23287671
"LA",2017-02-11,4673465.47945205
"LA",2017-02-12,4673444.7260274
"LA",2017-02-13,4673423.97260274
"LA",2017-02-14,4673403.21917808
"LA",2017-02-15,4673382.46575342
"LA",2017-02-16,4673361.71232877
"LA",2017-02-17,4673340.95890411
"LA",2017-02-18,4673320.20547945
"LA",2017-02-19,4673299.45205479
"LA",2017-02-20,4673278.69863014
"LA",2017-02-21,4673257.94520548
"LA",2017-02-22,4673237.19178082
"LA",2017-02-23,4673216.43835616
"LA",2017-02-24,4673195.68493151
"LA",2017-02-25,4673174.93150685
"LA",2017-02-26,4673154.17808219
"LA",2017-02-27,4673133.42465753
"LA",2017-02-28,4673112.67123288
"LA",2017-03-01,4673091.91780822
"LA",2017-03-02,4673071.16438356
"LA",2017-03-03,4673050.4109589
"LA",2017-03-04,4673029.65753425
"LA",2017-03-05,4673008.90410959
"LA",2017-03-06,4672988.15068493
"LA",2017-03-07,4672967.39726027
"LA",2017-03-08,4672946.64383562
"LA",2017-03-09,4672925.89041096
"LA",2017-03-10,4672905.1369863
"LA",2017-03-11,4672884.38356164
"LA",2017-03-12,4672863.63013699
"LA",2017-03-13,4672842.87671233
"LA",2017-03-14,4672822.12328767
"LA",2017-03-15,4672801.36986301
"LA",2017-03-16,4672780.61643836
"LA",2017-03-17,4672759.8630137
"LA",2017-03-18,4672739.10958904
"LA",2017-03-19,4672718.35616438
"LA",2017-03-20,4672697.60273973
"LA",2017-03-21,4672676.84931507
"LA",2017-03-22,4672656.09589041
"LA",2017-03-23,4672635.34246575
"LA",2017-03-24,4672614.5890411
"LA",2017-03-25,4672593.83561644
"LA",2017-03-26,4672573.08219178
"LA",2017-03-27,4672552.32876712
"LA",2017-03-28,4672531.57534247
"LA",2017-03-29,4672510.82191781
"LA",2017-03-30,4672490.06849315
"LA",2017-03-31,4672469.31506849
"LA",2017-04-01,4672448.56164384
"LA",2017-04-02,4672427.80821918
"LA",2017-04-03,4672407.05479452
"LA",2017-04-04,4672386.30136986
"LA",2017-04-05,4672365.54794521
"LA",2017-04-06,4672344.79452055
"LA",2017-04-07,4672324.04109589
"LA",2017-04-08,4672303.28767123
"LA",2017-04-09,4672282.53424658
"LA",2017-04-10,4672261.78082192
"LA",2017-04-11,4672241.02739726
"LA",2017-04-12,4672220.2739726
"LA",2017-04-13,4672199.52054795
"LA",2017-04-14,4672178.76712329
"LA",2017-04-15,4672158.01369863
"LA",2017-04-16,4672137.26027397
"LA",2017-04-17,4672116.50684932
"LA",2017-04-18,4672095.75342466
"LA",2017-04-19,4672075
"LA",2017-04-20,4672054.24657534
"LA",2017-04-21,4672033.49315068
"LA",2017-04-22,4672012.73972603
"LA",2017-04-23,4671991.98630137
"LA",2017-04-24,4671971.23287671
"LA",2017-04-25,4671950.47945205
"LA",2017-04-26,4671929.7260274
"LA",2017-04-27,4671908.97260274
"LA",2017-04-28,4671888.21917808
"LA",2017-04-29,4671867.46575342
"LA",2017-04-30,4671846.71232877
"LA",2017-05-01,4671825.95890411
"LA",2017-05-02,4671805.20547945
"LA",2017-05-03,4671784.45205479
"LA",2017-05-04,4671763.69863014
"LA",2017-05-05,4671742.94520548
"LA",2017-05-06,4671722.19178082
"LA",2017-05-07,4671701.43835616
"LA",2017-05-08,4671680.68493151
"LA",2017-05-09,4671659.93150685
"LA",2017-05-10,4671639.17808219
"LA",2017-05-11,4671618.42465753
"LA",2017-05-12,4671597.67123288
"LA",2017-05-13,4671576.91780822
"LA",2017-05-14,4671556.16438356
"LA",2017-05-15,4671535.4109589
"LA",2017-05-16,4671514.65753425
