"State","Date","RMV"
"AL",2017-05-07,5421926.16831683
"AL",2017-05-08,5422150.20132013
"AL",2017-05-09,5422374.23432343
"AL",2017-05-10,5422598.26732673
"AL",2017-05-11,5422822.30033003
"AL",2017-05-12,5423046.33333333
"AL",2017-05-13,5423270.36633663
"AL",2017-05-14,5423494.39933993
"AL",2017-05-15,5423718.43234323
"AL",2017-05-16,5423942.46534653
"AL",2017-05-17,5424166.49834984
"AL",2017-05-18,5424390.53135314
"AL",2017-05-19,5424614.56435644
"AL",2017-05-20,5424838.59735974
"AL",2017-05-21,5425062.63036304
"AL",2017-05-22,5425286.66336634
"AL",2017-05-23,5425510.69636964
"AL",2017-05-24,5425734.72937294
"AL",2017-05-25,5425958.76237624
"AL",2017-05-26,5426182.79537954
"AL",2017-05-27,5426406.82838284
"AL",2017-05-28,5426630.86138614
"AL",2017-05-29,5426854.89438944
"AL",2017-05-30,5427078.92739274
"AL",2017-05-31,5427302.96039604
"AL",2017-06-01,5427526.99339934
"AL",2017-06-02,5427751.02640264
"AL",2017-06-03,5427975.05940594
"AL",2017-06-04,5428199.09240924
"AL",2017-06-05,5428423.12541254
"AL",2017-06-06,5428647.15841584
"AL",2017-06-07,5428871.19141914
"AL",2017-06-08,5429095.22442244
"AL",2017-06-09,5429319.25742574
"AL",2017-06-10,5429543.29042904
"AL",2017-06-11,5429767.32343234
"AL",2017-06-12,5429991.35643564
"AL",2017-06-13,5430215.38943894
"AL",2017-06-14,5430439.42244224
"AL",2017-06-15,5430663.45544554
"AL",2017-06-16,5430887.48844885
"AL",2017-06-17,5431111.52145215
"AL",2017-06-18,5431335.55445545
"AL",2017-06-19,5431559.58745875
"AL",2017-06-20,5431783.62046205
"AL",2017-06-21,5432007.65346535
"AL",2017-06-22,5432231.68646865
"AL",2017-06-23,5432455.71947195
"AL",2017-06-24,5432679.75247525
"AL",2017-06-25,5432903.78547855
"AL",2017-06-26,5433127.81848185
"AL",2017-06-27,5433351.85148515
"AL",2017-06-28,5433575.88448845
"AL",2017-06-29,5433799.91749175
"AL",2017-06-30,5434023.95049505
"AL",2017-07-01,5434247.98349835
"AL",2017-07-02,5434472.01650165
"AL",2017-07-03,5434696.04950495
"AL",2017-07-04,5434920.08250825
"AL",2017-07-05,5435144.11551155
"AL",2017-07-06,5435368.14851485
"AL",2017-07-07,5435592.18151815
"AL",2017-07-08,5435816.21452145
"AL",2017-07-09,5436040.24752475
"AL",2017-07-10,5436264.28052805
"AL",2017-07-11,5436488.31353135
"AL",2017-07-12,5436712.34653465
"AL",2017-07-13,5436936.37953795
"AL",2017-07-14,5437160.41254125
"AL",2017-07-15,5437384.44554455
"AL",2017-07-16,5437608.47854785
"AL",2017-07-17,5437832.51155115
"AL",2017-07-18,5438056.54455446
"AL",2017-07-19,5438280.57755776
"AL",2017-07-20,5438504.61056106
"AL",2017-07-21,5438728.64356436
"AL",2017-07-22,5438952.67656766
"AL",2017-07-23,5439176.70957096
"AL",2017-07-24,5439400.74257426
"AL",2017-07-25,5439624.77557756
"AL",2017-07-26,5439848.80858086
"AL",2017-07-27,5440072.84158416
"AL",2017-07-28,5440296.87458746
"AL",2017-07-29,5440520.90759076
"AL",2017-07-30,5440744.94059406
"AL",2017-07-31,5440968.97359736
"AL",2017-08-01,5441193.00660066
"AL",2017-08-02,5441417.03960396
"AL",2017-08-03,5441641.07260726
"AL",2017-08-04,5441865.10561056
"AL",2017-08-05,5442089.13861386
"AL",2017-08-06,5442313.17161716
"AL",2017-08-07,5442537.20462046
"AL",2017-08-08,5442761.23762376
"AL",2017-08-09,5442985.27062706
"AL",2017-08-10,5443209.30363036
"AL",2017-08-11,5443433.33663366
"AL",2017-08-12,5443657.36963696
"AL",2017-08-13,5443881.40264026
"AL",2017-08-14,5444105.43564356
"AL",2017-08-15,5444329.46864686
"AL",2017-08-16,5444553.50165016
"AL",2017-08-17,5444777.53465347
"AL",2017-08-18,5445001.56765677
"AL",2017-08-19,5445225.60066007
"AL",2017-08-20,5445449.63366337
"AL",2017-08-21,5445673.66666667
"AL",2017-08-22,5445897.69966997
"AL",2017-08-23,5446121.73267327
"AL",2017-08-24,5446345.76567657
"AL",2017-08-25,5446569.79867987
"AL",2017-08-26,5446793.83168317
"AL",2017-08-27,5447017.86468647
"AL",2017-08-28,5447241.89768977
"AL",2017-08-29,5447465.93069307
"AL",2017-08-30,5447689.96369637
"AL",2017-08-31,5447913.99669967
"AL",2017-09-01,5448138.02970297
"AL",2017-09-02,5448362.06270627
"AL",2017-09-03,5448586.09570957
"AL",2017-09-04,5448810.12871287
"AL",2017-09-05,5449034.16171617
"AL",2017-09-06,5449258.19471947
"AL",2017-09-07,5449482.22772277
"AL",2017-09-08,5449706.26072607
"AL",2017-09-09,5449930.29372937
"AL",2017-09-10,5450154.32673267
"AL",2017-09-11,5450378.35973597
"AL",2017-09-12,5450602.39273927
"AL",2017-09-13,5450826.42574257
"AL",2017-09-14,5451050.45874587
"AL",2017-09-15,5451274.49174917
"AL",2017-09-16,5451498.52475248
"AL",2017-09-17,5451722.55775578
"AL",2017-09-18,5451946.59075908
"AL",2017-09-19,5452170.62376238
"AL",2017-09-20,5452394.65676568
"AL",2017-09-21,5452618.68976898
"AL",2017-09-22,5452842.72277228
"AL",2017-09-23,5453066.75577558
"AL",2017-09-24,5453290.78877888
"AL",2017-09-25,5453514.82178218
"AL",2017-09-26,5453738.85478548
"AL",2017-09-27,5453962.88778878
"AL",2017-09-28,5454186.92079208
"AL",2017-09-29,5454410.95379538
"AL",2017-09-30,5454634.98679868
"AL",2017-10-01,5454859.01980198
"AL",2017-10-02,5455083.05280528
"AL",2017-10-03,5455307.08580858
"AL",2017-10-04,5455531.11881188
"AL",2017-10-05,5455755.15181518
"AL",2017-10-06,5455979.18481848
"AL",2017-10-07,5456203.21782178
"AL",2017-10-08,5456427.25082508
"AL",2017-10-09,5456651.28382838
"AL",2017-10-10,5456875.31683168
"AL",2017-10-11,5457099.34983498
"AL",2017-10-12,5457323.38283828
"AL",2017-10-13,5457547.41584158
"AL",2017-10-14,5457771.44884488
"AL",2017-10-15,5457995.48184818
"AL",2017-10-16,5458219.51485149
"AL",2017-10-17,5458443.54785479
"AL",2017-10-18,5458667.58085809
"AL",2017-10-19,5458891.61386139
"AL",2017-10-20,5459115.64686469
"AL",2017-10-21,5459339.67986799
"AL",2017-10-22,5459563.71287129
"AL",2017-10-23,5459787.74587459
"AL",2017-10-24,5460011.77887789
"AL",2017-10-25,5460235.81188119
"AL",2017-10-26,5460459.84488449
"AL",2017-10-27,5460683.87788779
"AL",2017-10-28,5460907.91089109
"AL",2017-10-29,5461131.94389439
"AL",2017-10-30,5461355.97689769
"AL",2017-10-31,5461580.00990099
"AL",2017-11-01,5461804.04290429
"AL",2017-11-02,5462028.07590759
"AL",2017-11-03,5462252.10891089
"AL",2017-11-04,5462476.14191419
"AL",2017-11-05,5462700.17491749
"AL",2017-11-06,5462924.20792079
"AL",2017-11-07,5463148.24092409
"AL",2017-11-08,5463372.27392739
"AL",2017-11-09,5463596.30693069
"AL",2017-11-10,5463820.33993399
"AL",2017-11-11,5464044.37293729
"AL",2017-11-12,5464268.40594059
"AL",2017-11-13,5464492.43894389
"AL",2017-11-14,5464716.4719472
"AL",2017-11-15,5464940.5049505
"AL",2017-11-16,5465164.53795379
"AL",2017-11-17,5465388.5709571
"AL",2017-11-18,5465612.6039604
"AL",2017-11-19,5465836.6369637
"AL",2017-11-20,5466060.669967
"AL",2017-11-21,5466284.7029703
"AL",2017-11-22,5466508.7359736
"AL",2017-11-23,5466732.7689769
"AL",2017-11-24,5466956.8019802
"AL",2017-11-25,5467180.8349835
"AL",2017-11-26,5467404.8679868
"AL",2017-11-27,5467628.9009901
"AL",2017-11-28,5467852.9339934
"AL",2017-11-29,5468076.9669967
"AL",2017-11-30,5468301
"AL",2017-12-01,5467335.59484778
"AL",2017-12-02,5466370.18969555
"AL",2017-12-03,5465404.78454333
"AL",2017-12-04,5464439.3793911
"AL",2017-12-05,5463473.97423888
"AL",2017-12-06,5462508.56908665
"AL",2017-12-07,5461543.16393443
"AL",2017-12-08,5460577.7587822
"AL",2017-12-09,5459612.35362998
"AL",2017-12-10,5458646.94847775
"AL",2017-12-11,5457681.54332553
"AL",2017-12-12,5456716.1381733
"AL",2017-12-13,5455750.73302108
"AL",2017-12-14,5454785.32786885
"AL",2017-12-15,5453819.92271663
"AL",2017-12-16,5452854.5175644
"AL",2017-12-17,5451889.11241218
"AL",2017-12-18,5450923.70725995
"AL",2017-12-19,5449958.30210773
"AL",2017-12-20,5448992.8969555
"AL",2017-12-21,5448027.49180328
"AL",2017-12-22,5447062.08665105
"AL",2017-12-23,5446096.68149883
"AL",2017-12-24,5445131.2763466
"AL",2017-12-25,5444165.87119438
"AL",2017-12-26,5443200.46604215
"AL",2017-12-27,5442235.06088993
"AL",2017-12-28,5441269.6557377
"AL",2017-12-29,5440304.25058548
"AL",2017-12-30,5439338.84543326
"AL",2017-12-31,5438373.44028103
"AL",2018-01-01,5437408.03512881
"AL",2018-01-02,5436442.62997658
"AL",2018-01-03,5435477.22482436
"AL",2018-01-04,5434511.81967213
"AL",2018-01-05,5433546.41451991
"AL",2018-01-06,5432581.00936768
"AL",2018-01-07,5431615.60421546
"AL",2018-01-08,5430650.19906323
"AL",2018-01-09,5429684.79391101
"AL",2018-01-10,5428719.38875878
"AL",2018-01-11,5427753.98360656
"AL",2018-01-12,5426788.57845433
"AL",2018-01-13,5425823.17330211
"AL",2018-01-14,5424857.76814988
"AL",2018-01-15,5423892.36299766
"AL",2018-01-16,5422926.95784543
"AL",2018-01-17,5421961.55269321
"AL",2018-01-18,5420996.14754098
"AL",2018-01-19,5420030.74238876
"AL",2018-01-20,5419065.33723653
"AL",2018-01-21,5418099.93208431
