"Year","State","Type_of_beverage","Gallons_of_beverage","Gallons_of_ethanol","Population","Gallons_of_ethanol_per_capita_age_14_and_older","Decile_for_per_capita_consumption_age_14_and_older","Population_.age_21_and_older.","Gallons_of_ethanol_per_capita_age_21_and_older","Decile_for_per_capita_consumption_age_21_and_older","Type_of_data_source","Time.varying_alcohol_by_volume_.ABV.","Gallons_of_ethanol_derived_from_time.varying_ABV"
2015,"NM",4,0,3575227,1703627,20986,8,1507135,23722,8,0,0,3570625
2015,"NY",1,30979363,12732518,16436609,7746,6,14701177,8661,7,1,385,11927055
2015,"NY",2,64164700,8277246,16436609,5036,4,14701177,5630,4,1,122,7828093
2015,"NY",3,331263507,14906858,16436609,9069,10,14701177,10140,10,1,48,15900648
2015,"NY",4,0,35916622,16436609,21852,7,14701177,24431,7,0,0,35655796
2015,"NC",1,12645267,5197205,8272690,6282,10,7339757,7081,10,6,375,4741975
2015,"NC",2,27035430,3487570,8272690,4216,5,7339757,4752,5,2,124,3352393
2015,"NC",3,193944070,8727483,8272690,10550,7,7339757,11891,7,2,48,9309315
2015,"NC",4,0,17412258,8272690,21048,8,7339757,23723,8,0,0,17403683
2015,"ND",1,1985320,815966,614592,13277,1,545273,14964,1,1,381,756407
2015,"ND",2,1681970,216974,614592,3530,6,545273,3979,6,1,122,205200
2015,"ND",3,21617864,972804,614592,15828,1,545273,17841,1,1,46,994422
2015,"ND",4,0,2005744,614592,32635,1,545273,36784,1,0,0,1956029
2015,"OH",1,1.3e+07,5343000,9605280,5563,10,8525739,6267,10,3,382,4966000
2015,"OH",2,22288868,2875264,9605280,2993,7,8525739,3372,7,7,123,2741531
2015,"OH",3,250449000,11270205,9605280,11733,5,8525739,13219,5,7,48,12021552
2015,"OH",4,0,19488469,9605280,20289,9,8525739,22858,9,0,0,19729083
2015,"OK",1,4796683,1971437,3159162,6240,10,2791511,7062,10,7,385,1846723
2015,"OK",2,4746416,612288,3159162,1938,10,2791511,2193,10,7,122,579063
2015,"OK",3,75206000,3384270,3159162,10713,6,2791511,12123,6,7,47,3534682
2015,"OK",4,0,5967995,3159162,18891,10,2791511,21379,10,0,0,5960468
2015,"OR",1,7373676,3030581,3350156,9046,5,3007404,10077,5,6,380,2801997
2015,"OR",2,15042504,1940483,3350156,5792,2,3007404,6452,3,1,123,1850228
2015,"OR",3,91438730,4114743,3350156,12282,4,3007404,13682,4,1,48,4389059
2015,"OR",4,0,9085807,3350156,27121,4,3007404,30211,4,0,0,9041284
2015,"PA",1,18329888,7533584,10730928,7020,8,9571113,7871,8,3,367,6727069
2015,"PA",2,26455848,3412804,10730928,3180,7,9571113,3566,7,3,122,3227614
2015,"PA",3,313348000,14100660,10730928,13140,2,9571113,14733,3,7,47,14727356
2015,"PA",4,0,25047048,10730928,23341,6,9571113,26169,6,0,0,24682039
2015,"RI",1,2154967,885691,896273,9882,3,792614,11174,3,3,372,801648
2015,"RI",2,3990835,514818,896273,5744,3,792614,6495,2,3,123,490873
2015,"RI",3,19027000,856215,896273,9553,9,792614,10802,9,3,48,913296
2015,"RI",4,0,2256724,896273,25179,5,792614,28472,4,0,0,2205817
2015,"SC",1,7809003,3209500,4048888,7927,6,3604481,8904,6,7,390,3045511
2015,"SC",2,7892115,1018083,4048888,2514,8,3604481,2824,9,7,123,970730
2015,"SC",3,108903000,4900635,4048888,12104,4,3604481,13596,4,7,48,5227344
2015,"SC",4,0,9128218,4048888,22545,7,3604481,25325,7,0,0,9243585
2015,"SD",1,1716471,705470,686876,10271,3,607530,11612,3,1,382,655692
2015,"SD",2,1537741,198369,686876,2888,8,607530,3265,8,1,122,187604
2015,"SD",3,22754000,1023930,686876,14907,1,607530,16854,1,7,47,1069438
2015,"SD",4,0,1927768,686876,28066,3,607530,31731,3,0,0,1912734
2015,"TN",1,10009811,4114032,5435220,7569,7,4844630,8492,7,2,388,3883807
2015,"TN",2,11271154,1453979,5435220,2675,8,4844630,3001,8,2,123,1386352
2015,"TN",3,125081764,5628679,5435220,10356,7,4844630,11618,7,2,48,6003925
2015,"TN",4,0,11196690,5435220,20600,9,4844630,23112,9,0,0,11274084
2015,"TX",1,35775756,14703836,21844672,6731,9,19104490,7697,9,1,382,13666339
2015,"TX",2,56191583,7248714,21844672,3318,7,19104490,3794,6,1,122,6855373
2015,"TX",3,621189030,27953506,21844672,12796,3,19104490,14632,3,1,46,28574695
2015,"TX",4,0,49906056,21844672,22846,6,19104490,26123,6,0,0,49096407
2015,"UT",1,3003440,1234414,2265048,5450,10,1941682,6357,10,1,372,1117280
2015,"UT",2,3529829,455348,2265048,2010,10,1941682,2345,10,1,123,434169
2015,"UT",3,32798000,1475910,2265048,6516,10,1941682,7601,10,7,47,1541506
2015,"UT",4,0,3165672,2265048,13976,10,1941682,16304,10,0,0,3092955
2015,"VT",1,947980,389620,534774,7286,8,473017,8237,8,6,375,355493
2015,"VT",2,3235976,417441,534774,7806,1,473017,8825,1,2,122,394789
2015,"VT",3,18631000,838395,534774,15678,1,473017,17724,1,7,49,912919
2015,"VT",4,0,1645456,534774,30769,2,473017,34786,2,0,0,1663201
2015,"VA",1,10872105,4468435,6916684,6460,9,6158508,7256,9,1,375,4077039
2015,"VA",2,25672426,3311743,6916684,4788,4,6158508,5378,4,1,123,3157708
2015,"VA",3,154177939,6938007,6916684,10031,8,6158508,11266,8,1,47,7246363
2015,"VA",4,0,14718185,6916684,21279,8,6158508,23899,8,0,0,14481110
2015,"WA",1,11016653,4527845,5908378,7663,7,5289650,8560,7,3,379,4175312
2015,"WA",2,24101638,3109111,5908378,5262,3,5289650,5878,3,7,123,2964502
2015,"WA",3,127503000,5737635,5908378,9711,9,5289650,10847,9,7,48,6120144
2015,"WA",4,0,13374591,5908378,22637,7,5289650,25284,7,0,0,13259958
2015,"WV",1,1774024,729124,1551133,4701,10,1395951,5223,10,6,371,658163
2015,"WV",2,1276146,164623,1551133,1061,10,1395951,1179,10,7,122,155690
2015,"WV",3,41540000,1869300,1551133,12051,4,1395951,13391,4,7,47,1952380
2015,"WV",4,0,2763047,1551133,17813,10,1395951,19793,10,0,0,2766233
2015,"WI",1,13958939,5737124,4767200,12035,2,4228184,13569,2,1,382,5332315
2015,"WI",2,14321847,1847518,4767200,3875,6,4228184,4370,6,1,123,1761587
2015,"WI",3,147560000,6640200,4767200,13929,2,4228184,15705,2,7,47,6935320
2015,"WI",4,0,14224842,4767200,29839,2,4228184,33643,2,0,0,14029222
2015,"WY",1,1366258,561532,475681,11805,2,423929,13246,2,6,372,508248
2015,"WY",2,1159334,149554,475681,3144,7,423929,3528,7,6,122,141439
2015,"WY",3,13181830,593182,475681,12470,4,423929,13992,4,1,48,632728
2015,"WY",4,0,1304269,475681,27419,3,423929,30766,3,0,0,1282415
2016,"AL",1,6401868,2631168,4021760,6542,9,3575715,7358,9,6,374,2394299
2016,"AL",2,8092730,1043962,4021760,2596,8,3575715,2920,8,7,123,995406
2016,"AL",3,97712000,4397040,4021760,10933,6,3575715,12297,6,7,48,4690176
2016,"AL",4,0,8072170,4021760,20071,9,3575715,22575,9,0,0,8079881
