"State","Date","Urban_Mileage"
"AL",2017-05-11,58862.552732852
"AL",2017-05-12,58870.3096425993
"AL",2017-05-13,58878.0665523466
"AL",2017-05-14,58885.8234620939
"AL",2017-05-15,58893.5803718412
"AL",2017-05-16,58901.3372815884
"AL",2017-05-17,58909.0941913357
"AL",2017-05-18,58916.851101083
"AL",2017-05-19,58924.6080108303
"AL",2017-05-20,58932.3649205776
"AL",2017-05-21,58940.1218303249
"AL",2017-05-22,58947.8787400722
"AL",2017-05-23,58955.6356498195
"AL",2017-05-24,58963.3925595668
"AL",2017-05-25,58971.1494693141
"AL",2017-05-26,58978.9063790614
"AL",2017-05-27,58986.6632888087
"AL",2017-05-28,58994.420198556
"AL",2017-05-29,59002.1771083033
"AL",2017-05-30,59009.9340180505
"AL",2017-05-31,59017.6909277978
"AL",2017-06-01,59025.4478375451
"AL",2017-06-02,59033.2047472924
"AL",2017-06-03,59040.9616570397
"AL",2017-06-04,59048.718566787
"AL",2017-06-05,59056.4754765343
"AL",2017-06-06,59064.2323862816
"AL",2017-06-07,59071.9892960289
"AL",2017-06-08,59079.7462057762
"AL",2017-06-09,59087.5031155235
"AL",2017-06-10,59095.2600252708
"AL",2017-06-11,59103.0169350181
"AL",2017-06-12,59110.7738447653
"AL",2017-06-13,59118.5307545126
"AL",2017-06-14,59126.2876642599
"AL",2017-06-15,59134.0445740072
"AL",2017-06-16,59141.8014837545
"AL",2017-06-17,59149.5583935018
"AL",2017-06-18,59157.3153032491
"AL",2017-06-19,59165.0722129964
"AL",2017-06-20,59172.8291227437
"AL",2017-06-21,59180.586032491
"AL",2017-06-22,59188.3429422383
"AL",2017-06-23,59196.0998519856
"AL",2017-06-24,59203.8567617329
"AL",2017-06-25,59211.6136714801
"AL",2017-06-26,59219.3705812274
"AL",2017-06-27,59227.1274909747
"AL",2017-06-28,59234.884400722
"AL",2017-06-29,59242.6413104693
"AL",2017-06-30,59250.3982202166
"AL",2017-07-01,59258.1551299639
"AL",2017-07-02,59265.9120397112
"AL",2017-07-03,59273.6689494585
"AL",2017-07-04,59281.4258592058
"AL",2017-07-05,59289.1827689531
"AL",2017-07-06,59296.9396787004
"AL",2017-07-07,59304.6965884477
"AL",2017-07-08,59312.4534981949
"AL",2017-07-09,59320.2104079422
"AL",2017-07-10,59327.9673176895
"AL",2017-07-11,59335.7242274368
"AL",2017-07-12,59343.4811371841
"AL",2017-07-13,59351.2380469314
"AL",2017-07-14,59358.9949566787
"AL",2017-07-15,59366.751866426
"AL",2017-07-16,59374.5087761733
"AL",2017-07-17,59382.2656859206
"AL",2017-07-18,59390.0225956679
"AL",2017-07-19,59397.7795054152
"AL",2017-07-20,59405.5364151625
"AL",2017-07-21,59413.2933249097
"AL",2017-07-22,59421.050234657
"AL",2017-07-23,59428.8071444043
"AL",2017-07-24,59436.5640541516
"AL",2017-07-25,59444.3209638989
"AL",2017-07-26,59452.0778736462
"AL",2017-07-27,59459.8347833935
"AL",2017-07-28,59467.5916931408
"AL",2017-07-29,59475.3486028881
"AL",2017-07-30,59483.1055126354
"AL",2017-07-31,59490.8624223827
"AL",2017-08-01,59498.61933213
"AL",2017-08-02,59506.3762418773
"AL",2017-08-03,59514.1331516245
"AL",2017-08-04,59521.8900613718
"AL",2017-08-05,59529.6469711191
"AL",2017-08-06,59537.4038808664
"AL",2017-08-07,59545.1607906137
"AL",2017-08-08,59552.917700361
"AL",2017-08-09,59560.6746101083
"AL",2017-08-10,59568.4315198556
"AL",2017-08-11,59576.1884296029
"AL",2017-08-12,59583.9453393502
"AL",2017-08-13,59591.7022490975
"AL",2017-08-14,59599.4591588448
"AL",2017-08-15,59607.2160685921
"AL",2017-08-16,59614.9729783393
"AL",2017-08-17,59622.7298880866
"AL",2017-08-18,59630.4867978339
"AL",2017-08-19,59638.2437075812
"AL",2017-08-20,59646.0006173285
"AL",2017-08-21,59653.7575270758
"AL",2017-08-22,59661.5144368231
"AL",2017-08-23,59669.2713465704
"AL",2017-08-24,59677.0282563177
"AL",2017-08-25,59684.785166065
"AL",2017-08-26,59692.5420758123
"AL",2017-08-27,59700.2989855596
"AL",2017-08-28,59708.0558953069
"AL",2017-08-29,59715.8128050541
"AL",2017-08-30,59723.5697148014
"AL",2017-08-31,59731.3266245487
"AL",2017-09-01,59739.083534296
"AL",2017-09-02,59746.8404440433
"AL",2017-09-03,59754.5973537906
"AL",2017-09-04,59762.3542635379
"AL",2017-09-05,59770.1111732852
"AL",2017-09-06,59777.8680830325
"AL",2017-09-07,59785.6249927798
"AL",2017-09-08,59793.3819025271
"AL",2017-09-09,59801.1388122744
"AL",2017-09-10,59808.8957220217
"AL",2017-09-11,59816.652631769
"AL",2017-09-12,59824.4095415162
"AL",2017-09-13,59832.1664512635
"AL",2017-09-14,59839.9233610108
"AL",2017-09-15,59847.6802707581
"AL",2017-09-16,59855.4371805054
"AL",2017-09-17,59863.1940902527
"AL",2017-09-18,59870.951
"AL",2017-09-19,59879.3001976401
"AL",2017-09-20,59887.6493952802
"AL",2017-09-21,59895.9985929204
"AL",2017-09-22,59904.3477905605
"AL",2017-09-23,59912.6969882006
"AL",2017-09-24,59921.0461858407
"AL",2017-09-25,59929.3953834808
"AL",2017-09-26,59937.7445811209
"AL",2017-09-27,59946.0937787611
"AL",2017-09-28,59954.4429764012
"AL",2017-09-29,59962.7921740413
"AL",2017-09-30,59971.1413716814
"AL",2017-10-01,59979.4905693215
"AL",2017-10-02,59987.8397669617
"AL",2017-10-03,59996.1889646018
"AL",2017-10-04,60004.5381622419
"AL",2017-10-05,60012.887359882
"AL",2017-10-06,60021.2365575221
"AL",2017-10-07,60029.5857551622
"AL",2017-10-08,60037.9349528024
"AL",2017-10-09,60046.2841504425
"AL",2017-10-10,60054.6333480826
"AL",2017-10-11,60062.9825457227
"AL",2017-10-12,60071.3317433628
"AL",2017-10-13,60079.680941003
"AL",2017-10-14,60088.0301386431
"AL",2017-10-15,60096.3793362832
"AL",2017-10-16,60104.7285339233
"AL",2017-10-17,60113.0777315634
"AL",2017-10-18,60121.4269292035
"AL",2017-10-19,60129.7761268437
"AL",2017-10-20,60138.1253244838
"AL",2017-10-21,60146.4745221239
"AL",2017-10-22,60154.823719764
"AL",2017-10-23,60163.1729174041
"AL",2017-10-24,60171.5221150442
"AL",2017-10-25,60179.8713126844
"AL",2017-10-26,60188.2205103245
"AL",2017-10-27,60196.5697079646
"AL",2017-10-28,60204.9189056047
"AL",2017-10-29,60213.2681032448
"AL",2017-10-30,60221.617300885
"AL",2017-10-31,60229.9664985251
"AL",2017-11-01,60238.3156961652
"AL",2017-11-02,60246.6648938053
"AL",2017-11-03,60255.0140914454
"AL",2017-11-04,60263.3632890855
"AL",2017-11-05,60271.7124867257
"AL",2017-11-06,60280.0616843658
"AL",2017-11-07,60288.4108820059
"AL",2017-11-08,60296.760079646
"AL",2017-11-09,60305.1092772861
"AL",2017-11-10,60313.4584749263
"AL",2017-11-11,60321.8076725664
"AL",2017-11-12,60330.1568702065
"AL",2017-11-13,60338.5060678466
"AL",2017-11-14,60346.8552654867
"AL",2017-11-15,60355.2044631268
"AL",2017-11-16,60363.553660767
"AL",2017-11-17,60371.9028584071
"AL",2017-11-18,60380.2520560472
"AL",2017-11-19,60388.6012536873
"AL",2017-11-20,60396.9504513274
"AL",2017-11-21,60405.2996489675
"AL",2017-11-22,60413.6488466077
"AL",2017-11-23,60421.9980442478
"AL",2017-11-24,60430.3472418879
"AL",2017-11-25,60438.696439528
"AL",2017-11-26,60447.0456371681
"AL",2017-11-27,60455.3948348083
"AL",2017-11-28,60463.7440324484
"AL",2017-11-29,60472.0932300885
"AL",2017-11-30,60480.4424277286
"AL",2017-12-01,60488.7916253687
"AL",2017-12-02,60497.1408230088
"AL",2017-12-03,60505.490020649
"AL",2017-12-04,60513.8392182891
"AL",2017-12-05,60522.1884159292
"AL",2017-12-06,60530.5376135693
"AL",2017-12-07,60538.8868112094
"AL",2017-12-08,60547.2360088496
"AL",2017-12-09,60555.5852064897
"AL",2017-12-10,60563.9344041298
"AL",2017-12-11,60572.2836017699
"AL",2017-12-12,60580.63279941
"AL",2017-12-13,60588.9819970501
"AL",2017-12-14,60597.3311946903
"AL",2017-12-15,60605.6803923304
"AL",2017-12-16,60614.0295899705
"AL",2017-12-17,60622.3787876106
"AL",2017-12-18,60630.7279852507
"AL",2017-12-19,60639.0771828909
"AL",2017-12-20,60647.426380531
"AL",2017-12-21,60655.7755781711
"AL",2017-12-22,60664.1247758112
"AL",2017-12-23,60672.4739734513
"AL",2017-12-24,60680.8231710914
"AL",2017-12-25,60689.1723687316
"AL",2017-12-26,60697.5215663717
"AL",2017-12-27,60705.8707640118
"AL",2017-12-28,60714.2199616519
"AL",2017-12-29,60722.569159292
"AL",2017-12-30,60730.9183569322
"AL",2017-12-31,60739.2675545723
"AL",2018-01-01,60747.6167522124
"AL",2018-01-02,60755.9659498525
"AL",2018-01-03,60764.3151474926
"AL",2018-01-04,60772.6643451327
"AL",2018-01-05,60781.0135427729
"AL",2018-01-06,60789.362740413
"AL",2018-01-07,60797.7119380531
"AL",2018-01-08,60806.0611356932
"AL",2018-01-09,60814.4103333333
"AL",2018-01-10,60822.7595309735
"AL",2018-01-11,60831.1087286136
"AL",2018-01-12,60839.4579262537
"AL",2018-01-13,60847.8071238938
"AL",2018-01-14,60856.1563215339
"AL",2018-01-15,60864.505519174
"AL",2018-01-16,60872.8547168142
"AL",2018-01-17,60881.2039144543
"AL",2018-01-18,60889.5531120944
"AL",2018-01-19,60897.9023097345
"AL",2018-01-20,60906.2515073746
"AL",2018-01-21,60914.6007050147
"AL",2018-01-22,60922.9499026549
"AL",2018-01-23,60931.299100295
"AL",2018-01-24,60939.6482979351
"AL",2018-01-25,60947.9974955752
"AL",2018-01-26,60956.3466932153
"AL",2018-01-27,60964.6958908555
"AL",2018-01-28,60973.0450884956
"AL",2018-01-29,60981.3942861357
"AL",2018-01-30,60989.7434837758
"AL",2018-01-31,60998.0926814159
"AL",2018-02-01,61006.441879056
"AL",2018-02-02,61014.7910766962
"AL",2018-02-03,61023.1402743363
"AL",2018-02-04,61031.4894719764
"AL",2018-02-05,61039.8386696165
"AL",2018-02-06,61048.1878672566
"AL",2018-02-07,61056.5370648968
"AL",2018-02-08,61064.8862625369
"AL",2018-02-09,61073.235460177
"AL",2018-02-10,61081.5846578171
"AL",2018-02-11,61089.9338554572
"AL",2018-02-12,61098.2830530973
"AL",2018-02-13,61106.6322507375
