"State","Year_Month","Acc_PC","Acc_per_RMV","VMT_PC","Rural_Mileage_PC","Urban_Mileage_PC","RMV_PC","Population","Pop_Density","Alc_Cons_PC","Year","Avg_Severity","Month","Rec_Mar_Legal","Sale_Mar_Legal","Med_Mar_Legal","Sale_Mar_Legal_Neighbour","SRC_Bing","SRC_MQ"
"OK",Mär 2018,436.3006864,459.4680651,1088.98257,49161.9906451613,10464.6048387097,0.949580190322581,3937620.38709677,57.4038980645161,127781.806,2018,2.12231577419355,3,0,0,0,1,1,1
"OK",Apr 2018,434.9524898,458.0744281,1080.39739,49137.2136666667,10475.2993333333,0.949523333333333,3938365.7,57.414763,123636.411,2018,2.18570836666667,4,0,0,0,1,1,1
"OK",Mai 2018,507.9851361,535.020849,1113.19536,49112.4464516129,10485.9874193548,0.949466493548387,3939110.93548387,57.4256280645161,127733.453,2018,2.13782419354839,5,0,0,0,1,1,1
"OK",Jun 2018,371.8389987,391.6535076,1079.73483,49087.6886666667,10496.6743333333,0.949409676666667,3939856.26666667,57.4364933333333,123589.635,2018,2.13197516666667,6,0,0,0,1,1,1
"OK",Jul 2018,439.2391057,462.708603,1151.50696,49058.9412903226,10506.4987096774,0.949275503225806,3940922.80645161,57.4520412903226,127674.731,2018,2.03051203225806,7,0,0,1,1,1,1
"OK",Aug 2018,485.5011436,511.5589616,1201.56937,49030.5335483871,10516.1574193548,0.949057967741936,3942344.16129032,57.4727629032258,127628.696,2018,1.97246016129032,8,0,0,1,1,1,1
"OK",Sep 2018,359.5547203,378.9412028,1054.83556,49093.698,10536.1866666667,0.948844093333333,3943742.7,57.493151,123467.844,2018,2.04142086666667,9,0,0,1,1,1,1
"OK",Okt 2018,442.82444,466.803165,1082.851,49191.8838709677,10560.2567741935,0.948630361290323,3945141.16129032,57.5135387096774,127538.212,2018,2.064858,10,0,0,1,1,1,1
"OK",Nov 2018,471.294457,496.9305732,1048.0067,49290,10584.311,0.9484168,3946539.7,57.5339256666667,123380.34,2018,2.1092301,11,0,0,1,1,1,1
"OK",Dez 2018,397.4280815,419.1343732,959.7415,49388.0470967742,10608.3467741935,0.948203367741935,3947938.12903226,57.5543138709677,127447.855,2018,2.04891390322581,12,0,0,1,1,1,1
